03/03/2014,09:30:01.363,38.26,888,N,O,00,3367,N,C,,,
03/03/2014,09:30:09.683,38.26,2,D,4 I,00,4679,N,C,T,,
03/03/2014,09:30:21.984,38.2601,166,D,@,00,6505,N,C,T,,
03/03/2014,09:30:30.388,38.26,1,D,I,00,7544,N,C,T,,
03/03/2014,09:30:33.275,38.26,1,D,I,00,7781,N,C,T,,
03/03/2014,09:42:02.031,38.34,100,P,Q,00,88035,N,C,,X,
03/03/2014,09:42:02.031,38.34,100,P,F,00,88036,N,C,,,
03/03/2014,09:46:56.707,38.315,8,D,I,00,115904,N,C,T,,
03/03/2014,09:49:21.072,38.36,198,D,@,00,128981,N,C,T,,
03/03/2014,09:55:24.505,38.3,200,D,@,00,161517,N,C,T,,
03/03/2014,09:55:24.507,38.3,200,D,@,00,161518,N,C,T,,
03/03/2014,09:55:24.510,38.3,200,D,@,00,161519,N,C,T,,
03/03/2014,09:59:03.415,38.34,100,P,F,00,180695,N,C,,,
03/03/2014,09:59:03.415,38.34,90,P,F I,00,180696,N,C,,,
03/03/2014,09:59:03.415,38.36,10,P,F I,00,180697,N,C,,,
03/03/2014,09:59:03.416,38.36,200,N,F,00,180698,N,C,,,
03/03/2014,09:59:03.419,38.36,90,P,F I,00,180699,N,C,,,
03/03/2014,09:59:03.419,38.36,10,P,F I,00,180700,N,C,,,
03/03/2014,09:59:03.420,38.36,100,N,F,00,180701,N,C,,,
03/03/2014,09:59:03.422,38.36,100,D,@,00,180702,N,C,T,,
03/03/2014,09:59:03.577,38.35,100,P,F,00,180715,N,C,,,
03/03/2014,09:59:03.615,38.36,100,D,@,00,180718,N,C,N,,
03/03/2014,09:59:03.728,38.36,100,D,@,00,180723,N,C,T,,
03/03/2014,10:01:20.067,38.46,100,N,@,00,193207,N,C,,,
03/03/2014,10:11:31.557,38.4,100,D,B,00,249265,N,C,T,X,
03/03/2014,10:12:12.946,38.21,40,D,I,00,252661,N,C,T,,
03/03/2014,10:23:10.225,38.38,100,T,@,00,309227,N,C,,,
03/03/2014,10:23:10.225,38.38,100,T,Q,00,309228,N,C,,X,
03/03/2014,10:33:10.239,38.49,100,D,@,00,356362,N,C,N,,
03/03/2014,10:33:21.456,38.49,100,Z,@,00,356947,N,C,,,
03/03/2014,10:43:10.238,38.46,100,D,@,00,397751,N,C,N,,
03/03/2014,10:44:06.216,38.21,125,D,@,00,401553,N,C,T,,
03/03/2014,10:44:49.210,38.43,487,D,@,00,403980,N,C,T,,
